"Generation Energy Engagement, Ideas and Comments",,,,,
Idées et commentaires du Génération Énergie,,,,,
"April 21, 2017-October 12, 2017",,,,,
,,,,,
Please see the supporting documentation for more information on the data included in this document.,,,,,
Veuillez lire la documentation à l'appui pour plus d'informations sur les données incluses dans ce document.,,,,,
,,,,,
,,,,,
,,,,,
Forum Related Themes/ Thèmes du Forum,Number of Related Ideas/Numéro du idées conneses,,,User Defined Tags/ Les étiquettes définies par l’utilisateur,Number of Related Ideas/Numéro du idées conneses
Affordability/Abordabilité,64,,,Bioenergy/Bioénergie,26
Biomass/Biomasse,34,,,Biomass/Biomasse,16
Communities/Commuautés,71,,,Buildings/Bâtiments,38
Energy Efficiency/Efficacité énergétique,4,,,Clean Tech/Les technologies propres,90
Electricity/Électricité,87,,,Climate Change/Chandements climatiques,100
Finance/La finance,183,,,Crude Oil/Pétrole brut,21
Geothermal/Géothermie,22,,,Electricity/Électricité,86
Governance/Gouvernance,47,,,Energy Efficiency/Efficacité énergétique,87
Heating /Le chauffage ,20,,,Environment/L’environnement,82
Hydro/Hydroélectricité,36,,,Fossil Fuels/Combustibles fossiles,48
Hydrogen/D’hydrogène,15,,,Geothermal/Géothermie,17
Information/Information,11,,,Heating and Cooling/Le chauffage et le refroidissement,32
Innovation/Innovation,98,,,Homes/Maisons,42
International/Internationale,107,,,Hydro/Hydroélectricité,17
Labour Markets/Marché du travail,47,,,Indigenous/Autochtone,14
Natural Gas/Gaz Naturel,71,,,Industry/Industrie,41
Nuclear/Énergie Nucléaire,26,,,Innovation/Innovation,60
Petroleum/Pétrolier,149,,,Markets/Marché du travail,22
Pipelines/Pipelines,66,,,Natural Gas/Gaz Naturel,21
Public Confidence/La confiance du public,3,,,Net-Zero/Nette zéro ,22
Remote Communities/Les collectivités éloignées,11,,,Nuclear/Énergie Nucléaire,17
Renewables/Énergies renouvelables,280,,,Oil Sands/Sables bitumineux,16
Security/Sûreté,10,,,Personal Vehicles/Véhicules personnels,34
Solar/Solaire,150,,,Pipelines/Pipelines,26
Storage/Stockage d’énergie,34,,,Power/L'électricité,37
Tidal/Énergie Marémotrice,15,,,Rail/Rail,12
Transportation/Transports,166,,,Renewables/Énergies renouvelables,73
Wind/Éolienne,65,,,Smart Grid/Smart grid,14
Youth/jeunesse,5,,,Solar/Solaire,52
,,,,Storage/Stockage d’énergie,19
,,,,Transport/Transports,48
,,,,Wind/Éolienne,26
